customer_id,payment_method,monthly_charges,total_charges,total_charges_missing_flag
6047-YHPVI,Electronic check,69.7,316.9,0
6572-ADKRS,Credit card (automatic),74.8,3548.3,0
5380-WJKOV,Electronic check,106.35,3549.25,0
8168-UQWWF,Bank transfer (automatic),97.85,1105.4,0
8865-TNMNX,Mailed check,49.55,475.7,0
9489-DEDVP,Credit card (automatic),69.2,4872.35,0
9867-JCZSP,Mailed check,20.75,418.25,0
4671-VJLCL,Credit card (automatic),79.85,4861.45,0
4080-IIARD,Electronic check,76.2,981.45,0
3714-NTNFO,Electronic check,84.5,3906.7,0
5948-UJZLF,Mailed check,49.25,97.0,0
7760-OYPDY,Electronic check,80.65,144.15,0
7639-LIAYI,Credit card (automatic),79.75,4217.8,0
2954-PIBKO,Credit card (automatic),64.15,4254.1,0
8012-SOUDQ,Electronic check,90.25,3838.75,0
9420-LOJKX,Credit card (automatic),99.1,1426.4,0
6575-SUVOI,Credit card (automatic),69.5,1752.65,0
7495-OOKFY,Credit card (automatic),80.65,633.3,0
4667-QONEA,Credit card (automatic),74.85,4456.35,0
1658-BYGOY,Electronic check,95.45,1752.55,0
8769-KKTPH,Credit card (automatic),99.65,6311.2,0
5067-XJQFU,Electronic check,108.45,7076.35,0
3957-SQXML,Credit card (automatic),24.95,894.3,0
5954-BDFSG,Credit card (automatic),107.5,7853.7,0
0434-CSFON,Electronic check,100.5,4707.1,0
1215-FIGMP,Bank transfer (automatic),89.9,5450.7,0
0526-SXDJP,Bank transfer (automatic),42.1,2962.0,0
0557-ASKVU,Credit card (automatic),54.4,957.1,0
5698-BQJOH,Electronic check,94.4,857.25,0
5122-CYFXA,Electronic check,75.3,244.1,0
8627-ZYGSZ,Electronic check,78.9,3650.35,0
3410-YOQBQ,Mailed check,79.2,2497.2,0
3170-NMYVV,Bank transfer (automatic),20.15,930.9,0
7410-OIEDU,Mailed check,79.85,887.35,0
2273-QCKXA,Mailed check,49.05,49.05,0
0731-EBJQB,Electronic check,20.4,1090.65,0
1891-QRQSA,Bank transfer (automatic),111.6,7099.0,0
8028-PNXHQ,Bank transfer (automatic),24.25,1424.6,0
5630-AHZIL,Bank transfer (automatic),64.5,177.4,0
2673-CXQEU,Electronic check,110.5,6139.5,0
6416-JNVRK,Credit card (automatic),55.65,2688.85,0
5590-ZSKRV,Mailed check,54.65,482.25,0
0191-ZHSKZ,Electronic check,74.75,2111.3,0
3887-PBQAO,Credit card (automatic),25.9,1216.6,0
5919-TMRGD,Electronic check,79.35,79.35,0
8108-UXRQN,Electronic check,50.55,565.35,0
9191-MYQKX,Bank transfer (automatic),75.15,496.9,0
9919-YLNNG,Bank transfer (automatic),103.8,4327.5,0
0318-ZOPWS,Bank transfer (automatic),20.15,973.35,0
4445-ZJNMU,Credit card (automatic),99.3,918.75,0
4808-YNLEU,Bank transfer (automatic),62.15,2215.45,0
1862-QRWPE,Bank transfer (automatic),20.65,1057.0,0
2796-NNUFI,Mailed check,19.95,927.1,0
3016-KSVCP,Mailed check,33.75,1009.25,0
4767-HZZHQ,Bank transfer (automatic),82.05,2570.2,0
2424-WVHPL,Electronic check,74.7,74.7,0
7233-PAHHL,Mailed check,84.0,5714.25,0
6067-NGCEU,Credit card (automatic),111.05,7107.0,0
9848-JQJTX,Bank transfer (automatic),100.9,7459.05,0
8637-XJIVR,Electronic check,78.95,927.35,0
9803-FTJCG,Credit card (automatic),66.85,4748.7,0
0278-YXOOG,Mailed check,21.05,113.85,0
3212-KXOCR,Bank transfer (automatic),21.0,1107.2,0
4598-XLKNJ,Electronic check,98.5,2514.5,0
6380-ARCEH,Mailed check,20.2,20.2,0
3679-XASPY,Electronic check,19.45,19.45,0
7123-WQUHX,Bank transfer (automatic),95.0,3605.6,0
5386-THSLQ,Bank transfer (automatic),45.55,3027.25,0
3192-NQECA,Bank transfer (automatic),110.0,7611.85,0
6180-YBIQI,Mailed check,24.3,100.2,0
6728-DKUCO,Electronic check,104.15,7303.05,0
9750-BOOHV,Mailed check,30.15,927.65,0
8597-CWYHH,Mailed check,94.35,3921.3,0
2848-YXSMW,Credit card (automatic),19.4,1363.25,0
0486-HECZI,Electronic check,96.75,5238.9,0
4549-ZDQYY,Credit card (automatic),57.95,3042.25,0
5712-AHQNN,Electronic check,91.65,3954.1,0
4846-WHAFZ,Electronic check,76.5,2868.15,0
5256-SKJGO,Electronic check,54.6,3423.5,0
3071-VBYPO,Electronic check,89.85,248.4,0
9560-BBZXK,Bank transfer (automatic),31.05,1126.35,0
5299-RULOA,Electronic check,100.25,1064.65,0
8402-OOOHJ,Mailed check,20.65,835.15,0
9445-ZUEQE,Credit card (automatic),85.2,2151.6,0
1091-SOZGA,Credit card (automatic),99.8,5515.45,0
2928-HLDBA,Mailed check,20.7,112.75,0
0404-SWRVG,Electronic check,74.4,229.55,0
6497-TILVL,Mailed check,50.7,350.35,0
7219-TLZHO,Mailed check,20.85,62.9,0
4622-YNKIJ,Electronic check,88.95,3027.65,0
4412-YLTKF,Electronic check,78.05,2135.5,0
6734-PSBAW,Bank transfer (automatic),23.55,1723.95,0
3930-ZGWVE,Mailed check,19.75,19.75,0
2639-UGMAZ,Electronic check,56.45,3985.35,0
2876-GZYZC,Electronic check,85.95,1215.65,0
6207-WIOLX,Credit card (automatic),58.6,1502.65,0
8587-XYZSF,Bank transfer (automatic),50.55,3260.1,0
3091-FYHKI,Electronic check,35.45,35.45,0
2372-HWUHI,Electronic check,44.35,81.25,0
7799-LGRDP,Credit card (automatic),25.7,1188.2,0
7850-VWJUU,Bank transfer (automatic),75.0,1778.5,0
3774-VBNXY,Mailed check,20.2,1277.75,0
6217-KDYWC,Mailed check,19.6,1170.55,0
0390-DCFDQ,Mailed check,70.45,70.45,0
3146-MSEGF,Credit card (automatic),88.05,6425.65,0
4080-OGPJL,Electronic check,71.15,563.65,0
1095-WGNGG,Bank transfer (automatic),101.05,5971.25,0
2636-SJDOU,Credit card (automatic),84.3,5289.05,0
1131-QQZEB,Bank transfer (automatic),23.95,1756.2,0
5716-EZXZN,Credit card (automatic),99.05,6416.7,0
6837-BJYDQ,Mailed check,19.6,61.35,0
2135-RXIHG,Electronic check,45.65,45.65,0
6440-DKQGE,Credit card (automatic),64.5,1929.95,0
3466-BYAVD,Mailed check,69.5,1071.4,0
3780-YVMFA,Electronic check,68.55,564.35,0
3874-EQOEP,Mailed check,95.0,655.5,0
1679-JRFBR,Credit card (automatic),108.15,7930.55,0
9073-ZZIAY,Electronic check,86.1,5215.25,0
3077-RSNTJ,Mailed check,19.7,113.5,0
6551-GNYDG,Bank transfer (automatic),80.9,1152.8,0
9167-APMXZ,Bank transfer (automatic),84.15,1821.95,0
2749-CTKAJ,Mailed check,20.15,419.9,0
6371-NZYEG,Mailed check,64.25,1024.0,0
7554-NEWDD,Bank transfer (automatic),25.7,251.6,0
8992-VONJD,Electronic check,56.0,764.55,0
0867-MKZVY,Electronic check,82.4,1592.35,0
4482-EWFMI,Electronic check,69.7,135.2,0
4648-YPBTM,Bank transfer (automatic),73.9,3958.25,0
2907-ILJBN,Mailed check,20.6,233.9,0
6345-FZOQH,Mailed check,19.9,1363.45,0
3376-BMGFE,Bank transfer (automatic),70.9,273.0,0
5997-OPVFA,Bank transfer (automatic),89.05,6254.45,0
3445-HXXGF,Electronic check,45.3,2651.2,0
1159-WFSGR,Electronic check,20.4,321.4,0
7654-YWJUF,Bank transfer (automatic),84.25,3539.25,0
1875-QIVME,Electronic check,104.4,242.8,0
6727-IOTLZ,Mailed check,81.95,1181.75,0
0691-JVSYA,Bank transfer (automatic),94.85,5000.2,0
5918-VUKWP,Bank transfer (automatic),20.55,654.55,0
1744-JHKYS,Electronic check,24.7,780.2,0
2656-FMOKZ,Mailed check,74.45,1145.7,0
2070-FNEXE,Bank transfer (automatic),76.45,503.6,0
5947-SGKCL,Bank transfer (automatic),105.35,1559.25,0
3712-PKXZA,Credit card (automatic),20.55,1252.0,0
6317-YPKDH,Bank transfer (automatic),29.95,29.95,0
6582-OIVSP,Mailed check,45.3,45.3,0
9367-WXLCH,Bank transfer (automatic),84.5,662.65,0
5524-KHNJP,Credit card (automatic),74.75,2453.3,0
1918-ZBFQJ,Electronic check,79.25,1111.65,0
1024-GUALD,Electronic check,24.8,24.8,0
4827-USJHP,Mailed check,51.8,1023.85,0
8167-GJLRN,Electronic check,30.4,82.15,0
0956-SYCWG,Electronic check,19.65,244.8,0
8017-UVSZU,Credit card (automatic),56.6,2379.1,0
7100-FQPRV,Credit card (automatic),71.9,3173.35,0
2472-OVKUP,Electronic check,91.0,531.0,0
2984-RGEYA,Bank transfer (automatic),19.75,1375.4,0
9680-NIAUV,Credit card (automatic),109.7,8129.3,0
2146-EGVDT,Credit card (automatic),19.3,1192.7,0
2604-IJPDU,Electronic check,96.55,1901.65,0
9178-JHUVJ,Bank transfer (automatic),24.1,587.4,0
6168-YBYNP,Electronic check,111.35,6519.75,0
7255-SSFBC,Bank transfer (automatic),112.25,8041.65,0
3645-DEYGF,Mailed check,20.75,20.75,0
9323-HGFWY,Credit card (automatic),101.9,2681.15,0
8544-GOQSH,Credit card (automatic),80.05,1112.3,0
3363-DTIVD,Electronic check,105.55,7405.5,0
7018-WBJNK,Credit card (automatic),78.3,1033.95,0
9142-KZXOP,Credit card (automatic),68.85,2958.95,0
7674-YTAFD,Bank transfer (automatic),79.95,2684.85,0
6348-SNFUS,Credit card (automatic),55.45,4179.2,0
1285-OKIPP,Electronic check,79.9,79.9,0
7825-ECJRF,Electronic check,106.6,1934.45,0
1347-KTTTA,Credit card (automatic),102.45,6654.1,0
7841-TZDMQ,Credit card (automatic),46.0,84.5,0
4195-NZGTA,Electronic check,25.25,25.25,0
7157-SMCFK,Mailed check,19.75,1124.2,0
4709-LKHYG,Electronic check,20.0,540.05,0
2504-DSHIH,Electronic check,86.8,1975.85,0
0699-NDKJM,Bank transfer (automatic),58.75,3437.45,0
9286-BHDQG,Credit card (automatic),45.25,3139.8,0
0230-WEQUW,Bank transfer (automatic),56.6,3789.2,0
2040-LDIWQ,Bank transfer (automatic),84.2,5324.5,0
6496-JDSSB,Bank transfer (automatic),80.0,624.6,0
9408-SSNVZ,Electronic check,70.15,268.35,0
4443-EMBNA,Bank transfer (automatic),24.75,1836.9,0
6469-MRVET,Electronic check,20.2,20.2,0
0742-MOABM,Mailed check,50.05,179.35,0
5961-VUSRV,Bank transfer (automatic),19.35,219.35,0
6778-JFCMK,Mailed check,50.6,1288.75,0
6341-JVQGF,Mailed check,81.15,2545.75,0
2232-DMLXU,Mailed check,55.2,55.2,0
4811-JBUVU,Credit card (automatic),89.9,2723.15,0
0945-TSONX,Credit card (automatic),85.3,4107.25,0
2651-ZCBXV,Credit card (automatic),108.0,5760.65,0
3316-UWXUY,Credit card (automatic),93.5,4747.5,0
8937-RDTHP,Mailed check,84.6,84.6,0
7083-MIOPC,Credit card (automatic),20.25,1566.9,0
1984-GPTEH,Electronic check,25.15,702.0,0
1251-KRREG,Mailed check,54.4,114.1,0
0621-JFHOL,Mailed check,29.6,299.05,0
9903-LYSAB,Electronic check,73.15,1305.95,0
0094-OIFMO,Electronic check,95.0,1120.3,0
9227-UAQFT,Mailed check,19.75,284.35,0
7301-ABVAD,Bank transfer (automatic),86.6,6350.5,0
6614-FHDBO,Bank transfer (automatic),109.2,7878.3,0
7576-ASEJU,Credit card (automatic),74.7,3187.65,0
9058-HRZSV,Electronic check,94.4,6126.15,0
4522-AKYLR,Electronic check,54.8,731.3,0
0221-WMXNQ,Electronic check,75.35,273.4,0
0303-UNCIP,Mailed check,65.0,2531.8,0
9947-OTFQU,Electronic check,74.4,1074.3,0
0322-YINQP,Mailed check,48.55,48.55,0
0959-WHOKV,Electronic check,99.0,4298.45,0
4075-JFPGR,Electronic check,93.5,4619.55,0
4629-NRXKX,Electronic check,70.4,147.15,0
9514-JDSKI,Electronic check,40.2,40.2,0
3282-ZISZV,Credit card (automatic),83.7,2633.3,0
3675-YDUPJ,Mailed check,19.85,193.05,0
4111-BNXIF,Electronic check,59.55,4103.9,0
7017-VFHAY,Credit card (automatic),115.1,7008.15,0
6655-LHBYW,Credit card (automatic),114.35,5791.1,0
4959-JOSRX,Credit card (automatic),44.6,80.55,0
5046-NUHWD,Electronic check,45.0,1228.65,0
7273-TEFQD,Electronic check,41.15,132.2,0
3606-TWKGI,Electronic check,106.9,1364.3,0
7529-ZDFXI,Electronic check,89.85,4925.35,0
7605-BDWDC,Bank transfer (automatic),49.85,1520.1,0
1950-KSVVJ,Mailed check,113.3,5032.25,0
0123-CRBRT,Mailed check,88.1,5526.75,0
6292-TOSSS,Bank transfer (automatic),24.9,1195.25,0
3197-ARFOY,Mailed check,105.0,2007.25,0
6323-AYBRX,Mailed check,19.35,1099.6,0
7014-ZZXAW,Credit card (automatic),24.25,1732.95,0
4385-GZQXV,Electronic check,94.45,1511.2,0
7633-MVPUY,Electronic check,59.75,3450.15,0
6366-ZGQGL,Bank transfer (automatic),24.8,24.8,0
4716-HHKQH,Electronic check,107.05,2172.05,0
5940-AHUHD,Mailed check,70.6,70.6,0
6432-TWQLB,Electronic check,85.4,401.1,0
4484-GLZOU,Electronic check,105.05,5624.85,0
3179-GBRWV,Bank transfer (automatic),64.95,1339.8,0
8645-KWHJO,Electronic check,55.0,771.95,0
4130-MZLCC,Bank transfer (automatic),50.55,244.75,0
0314-TKOSI,Mailed check,55.15,322.9,0
8229-MYEJZ,Electronic check,51.2,498.25,0
2080-SRCDE,Mailed check,25.4,25.4,0
9577-WJVCQ,Mailed check,54.45,3687.75,0
9512-UIBFX,Mailed check,95.15,1779.95,0
6202-DYYFX,Credit card (automatic),76.0,1783.6,0
3808-HFKDE,Electronic check,44.35,927.15,0
5583-SXDAG,Electronic check,70.0,70.0,0
3488-PGMQJ,Electronic check,74.5,606.55,0
3580-REOAC,Credit card (automatic),44.85,435.4,0
7534-BFESC,Electronic check,76.1,1712.7,0
3727-OWVYD,Mailed check,61.2,2021.2,0
2294-SALNE,Mailed check,86.8,1940.8,0
4847-TAJYI,Electronic check,89.35,567.8,0
1563-IWQEX,Mailed check,19.7,220.35,0
8203-XJZRC,Mailed check,20.25,20.25,0
6556-DBKZF,Electronic check,76.05,5436.45,0
6851-WEFYX,Electronic check,100.8,3437.5,0
2985-JUUBZ,Electronic check,74.55,3015.75,0
6390-DSAZX,Mailed check,73.6,73.6,0
0895-LMRSF,Bank transfer (automatic),64.9,1509.8,0
8098-LLAZX,Electronic check,95.45,396.1,0
8266-VBFQL,Electronic check,90.4,356.65,0
8181-YHCMF,Credit card (automatic),60.3,4109.0,0
2240-HSJQD,Mailed check,81.85,3141.7,0
1248-DYXUB,Mailed check,24.8,1229.1,0
0265-EDXBD,Electronic check,74.9,2303.35,0
4115-BNPJY,Mailed check,75.55,2054.4,0
3167-SNQPL,Electronic check,101.15,3741.85,0
4091-TVOCN,Credit card (automatic),78.75,3682.45,0
1098-TDVUQ,Bank transfer (automatic),19.25,19.25,0
7277-OZCGZ,Electronic check,89.05,1886.25,0
1557-EMYVT,Credit card (automatic),115.05,4895.1,0
2799-ARNLO,Electronic check,69.35,341.6,0
7563-BIUPC,Electronic check,80.6,415.55,0
5027-YOCXN,Credit card (automatic),110.05,5686.4,0
3973-SKMLN,Credit card (automatic),19.9,1355.1,0
2321-OMBXY,Credit card (automatic),80.3,3058.65,0
2840-XANRC,Electronic check,93.15,2231.05,0
6745-JEFZB,Credit card (automatic),91.5,3236.35,0
5020-ZSTTY,Bank transfer (automatic),82.45,4350.1,0
9880-TDQAC,Electronic check,60.0,4264.0,0
8705-WZCYL,Electronic check,44.8,44.8,0
7102-JJVTX,Mailed check,48.6,422.3,0
8626-PTQGE,Bank transfer (automatic),60.05,4176.7,0
4983-CLMLV,Credit card (automatic),102.7,5138.1,0
5701-YVSVF,Electronic check,82.9,880.05,0
5804-LEPIM,Electronic check,70.35,139.05,0
5697-GOMBF,Electronic check,35.9,973.65,0
2739-CACDQ,Credit card (automatic),82.65,1470.05,0
9385-EHGDO,Mailed check,19.85,739.35,0
9498-FIMXL,Mailed check,19.2,161.95,0
2379-GYFLQ,Credit card (automatic),94.9,4422.95,0
0122-OAHPZ,Electronic check,73.85,511.25,0
2868-SNELZ,Mailed check,80.6,155.8,0
4322-RCYMT,Bank transfer (automatic),75.8,5293.95,0
6680-NENYN,Electronic check,104.6,4759.85,0
2088-IEBAU,Electronic check,88.15,6148.45,0
7982-VCELR,Credit card (automatic),94.8,3565.65,0
1343-EHPYB,Electronic check,103.4,6603.0,0
6035-BXTTY,Bank transfer (automatic),54.65,1830.1,0
6885-PKOAM,Credit card (automatic),85.75,6223.8,0
7520-HQWJU,Bank transfer (automatic),67.45,4508.65,0
9639-BUJXT,Mailed check,20.5,1328.15,0
5924-SNGKP,Credit card (automatic),20.25,865.0,0
0021-IKXGC,Electronic check,72.1,72.1,0
2034-GDRCN,Electronic check,90.4,168.2,0
8966-SNIZF,Bank transfer (automatic),19.45,1303.5,0
6243-OZGFH,Electronic check,44.95,996.85,0
4654-DLAMQ,Bank transfer (automatic),97.0,6430.9,0
0513-RBGPE,Credit card (automatic),62.8,2278.75,0
5160-UXJED,Mailed check,44.6,681.4,0
4115-NZRKS,Electronic check,89.15,574.35,0
0219-YTZUE,Bank transfer (automatic),84.8,371.9,0
0623-IIHUG,Electronic check,41.9,840.1,0
4572-DVCGN,Bank transfer (automatic),80.25,846.0,0
3351-NGXYI,Electronic check,54.1,889.0,0
8984-EYLLL,Electronic check,105.25,6823.4,0
9057-MSWCO,Credit card (automatic),30.75,805.1,0
9833-TGFHX,Electronic check,97.1,4016.75,0
9294-TDIPC,Mailed check,20.2,83.75,0
5229-DTFYB,Bank transfer (automatic),98.8,3959.15,0
0104-PPXDV,Credit card (automatic),50.3,2878.55,0
5176-LMJXE,Mailed check,20.55,945.7,0
3583-KRKMD,Bank transfer (automatic),75.9,1373.05,0
1010-DIAUQ,Bank transfer (automatic),96.5,492.55,0
9069-LGEUL,Bank transfer (automatic),59.95,1406.0,0
7302-ZHMHP,Mailed check,19.15,19.15,0
9571-EDEBV,Credit card (automatic),98.65,6962.85,0
3520-FJGCV,Credit card (automatic),112.6,8126.65,0
6563-VRERX,Mailed check,20.6,690.25,0
0259-GBZSH,Electronic check,85.65,181.5,0
6122-EFVKN,Mailed check,35.75,830.8,0
2805-EDJPQ,Credit card (automatic),99.75,5608.4,0
6862-CQUMB,Credit card (automatic),96.1,3646.8,0
7156-MXBJE,Credit card (automatic),85.1,3662.25,0
6158-HDPXZ,Mailed check,25.35,25.35,0
9601-BRXPO,Bank transfer (automatic),104.95,2566.5,0
2863-IMQDR,Electronic check,89.65,5308.7,0
5686-CMAWK,Electronic check,86.75,1410.25,0
5651-CRHKQ,Bank transfer (automatic),86.2,3339.05,0
6905-NIQIN,Mailed check,50.65,50.65,0
8204-YJCLA,Bank transfer (automatic),64.8,4732.35,0
5167-ZFFMM,Credit card (automatic),90.85,90.85,0
6583-SZVGP,Bank transfer (automatic),108.1,5067.45,0
4895-TMWIR,Mailed check,19.95,214.75,0
0533-BNWKF,Electronic check,85.45,4874.7,0
1708-PBBOA,Electronic check,54.75,2348.45,0
8782-LKFPK,Mailed check,90.4,4063.0,0
5522-JBWMO,Electronic check,44.0,44.0,0
3597-MVHJT,Bank transfer (automatic),95.6,2595.25,0
9774-NRNAU,Bank transfer (automatic),84.8,2309.55,0
0224-RLWWD,Electronic check,44.3,89.3,0
9967-ATRFS,Mailed check,19.9,367.55,0
3951-NJCVI,Electronic check,95.05,3944.5,0
2977-CEBSX,Credit card (automatic),90.05,5965.95,0
0177-PXBAT,Bank transfer (automatic),109.9,3694.7,0
6599-CEBNN,Credit card (automatic),73.95,2524.45,0
2519-ERQOJ,Electronic check,54.6,1803.7,0
5876-QMYLD,Mailed check,20.05,415.1,0
2277-AXSDC,Bank transfer (automatic),19.75,624.15,0
9442-JTWDL,Credit card (automatic),20.05,237.7,0
0979-PHULV,Credit card (automatic),99.45,7007.6,0
3067-SVMTC,Bank transfer (automatic),55.9,3848.8,0
5495-GPSRW,Mailed check,19.7,419.4,0
7606-BPHHN,Credit card (automatic),19.8,1468.75,0
4742-DRORA,Bank transfer (automatic),95.4,5812.0,0
0111-KLBQG,Mailed check,93.95,2861.45,0
4800-VHZKI,Mailed check,19.9,19.9,0
7989-CHGTL,Mailed check,19.6,19.6,0
0334-GDDSO,Electronic check,81.35,233.7,0
4163-NCJAK,Bank transfer (automatic),24.45,1066.15,0
5233-AOZUF,Electronic check,74.95,2149.05,0
5973-EJGDP,Electronic check,87.35,4473.0,0
1996-DBMUS,Bank transfer (automatic),70.65,3545.05,0
7916-VCCPB,Bank transfer (automatic),73.25,1195.75,0
4686-GEFRM,Bank transfer (automatic),98.7,6858.9,0
5249-QYHEX,Mailed check,24.8,1024.7,0
0578-SKVMF,Electronic check,83.3,1845.9,0
5564-NEMQO,Bank transfer (automatic),75.3,75.3,0
2233-FAGXV,Mailed check,24.3,132.25,0
5605-IYGFG,Bank transfer (automatic),69.85,515.45,0
7663-ZTEGJ,Credit card (automatic),100.55,2830.45,0
3935-TBRZZ,Mailed check,25.7,1110.5,0
8111-BKVDS,Bank transfer (automatic),40.7,449.3,0
2055-SIFSS,Bank transfer (automatic),51.65,2838.55,0
2806-MLNTI,Bank transfer (automatic),105.1,5376.4,0
8734-DKSTZ,Electronic check,85.95,858.6,0
4360-PNRQB,Bank transfer (automatic),75.6,1395.05,0
6152-ONASV,Bank transfer (automatic),58.25,3975.7,0
9063-ZGTUY,Mailed check,19.4,1182.55,0
7781-HVGMK,Credit card (automatic),65.2,4784.45,0
2181-UAESM,Electronic check,53.45,119.5,0
2957-LOLHO,Bank transfer (automatic),45.4,518.9,0
6048-NJXHX,Electronic check,19.75,899.45,0
2320-SLKMB,Credit card (automatic),44.45,1183.8,0
4980-URKXC,Bank transfer (automatic),20.85,720.05,0
4376-KFVRS,Credit card (automatic),114.05,8468.2,0
5886-VLQVU,Bank transfer (automatic),89.85,3161.2,0
3577-AMVUX,Mailed check,55.05,55.05,0
0771-WLCLA,Electronic check,112.95,1882.55,0
5628-RKIFK,Credit card (automatic),101.55,5070.4,0
0206-TBWLC,Mailed check,114.65,6049.5,0
2937-FTHUR,Electronic check,64.8,1166.7,0
1910-FMXJM,Electronic check,80.4,2937.65,0
7752-XUSCI,Electronic check,105.9,6396.45,0
4110-PFEUZ,Mailed check,69.55,69.55,0
0732-OCQOC,Bank transfer (automatic),25.05,1270.25,0
5168-MSWXT,Electronic check,94.75,759.55,0
1090-ESELR,Bank transfer (automatic),105.5,7611.55,0
8592-PLTMQ,Mailed check,24.7,1642.75,0
5760-WRAHC,Mailed check,69.75,1545.4,0
8847-GEOOQ,Bank transfer (automatic),60.2,3582.4,0
0256-LTHVJ,Electronic check,81.05,2227.1,0
4785-FCIFB,Mailed check,24.4,1417.9,0
8313-NDOIA,Electronic check,104.15,2494.65,0
5149-CUZUJ,Bank transfer (automatic),92.9,2768.35,0
0942-KOWSM,Bank transfer (automatic),80.8,2369.3,0
4237-CLSMM,Mailed check,20.0,38.0,0
1452-VOQCH,Electronic check,75.1,75.1,0
4719-UMSIY,Mailed check,19.65,100.9,0
6614-VBEGU,Bank transfer (automatic),69.45,1614.05,0
0880-TKATG,Electronic check,101.15,385.9,0
3811-VBYBZ,Electronic check,99.8,673.25,0
1480-BKXGA,Bank transfer (automatic),116.05,8404.9,0
2996-XAUVF,Mailed check,40.05,2799.75,0
9076-AXYIK,Electronic check,102.1,6538.45,0
5968-XQIVE,Electronic check,89.7,6588.95,0
8896-RAZCR,Mailed check,19.9,868.1,0
4640-UHDOS,Electronic check,55.95,734.35,0
4933-IKULF,Mailed check,20.65,330.6,0
3583-EKAPL,Electronic check,55.0,55.0,0
1304-BCCFO,Mailed check,70.05,564.4,0
4104-PVRPS,Mailed check,53.6,1315.35,0
9399-APLBT,Electronic check,74.7,74.7,0
2359-KMGLI,Electronic check,80.25,1861.5,0
3780-DDGSE,Electronic check,76.05,2747.2,0
4431-EDMIQ,Electronic check,75.7,554.05,0
0306-JAELE,Electronic check,96.1,453.4,0
6227-HWPWX,Bank transfer (automatic),69.0,994.8,0
0486-LGCCH,Mailed check,19.65,225.75,0
0447-BEMNG,Bank transfer (automatic),45.3,2145.0,0
4612-SSVHJ,Electronic check,81.45,1671.6,0
5168-MQQCA,Bank transfer (automatic),108.5,8003.8,0
5949-XIKAE,Electronic check,83.55,680.05,0
7971-HLVXI,Credit card (automatic),84.5,6130.85,0
9094-AZPHK,Electronic check,100.15,1415.0,0
3649-JPUGY,Bank transfer (automatic),88.6,6201.95,0
4472-LVYGI,Bank transfer (automatic),52.55,0.0,1
8372-JUXUI,Electronic check,74.35,74.35,0
3552-CTCYF,Bank transfer (automatic),104.8,6597.25,0
6778-YSNIH,Electronic check,59.0,114.15,0
0388-EOPEX,Electronic check,74.4,139.4,0
5756-OZRIO,Bank transfer (automatic),64.05,3902.6,0
6579-JPICP,Mailed check,20.4,20.4,0
8205-OTCHB,Bank transfer (automatic),43.75,903.6,0
4134-BSXLX,Mailed check,60.9,1785.65,0
0505-SPOOW,Bank transfer (automatic),19.8,1397.65,0
6235-VDHOM,Electronic check,28.45,131.05,0
7783-YKGDV,Bank transfer (automatic),99.7,1238.45,0
4374-YMUSQ,Credit card (automatic),116.25,3899.05,0
4513-CXYIX,Credit card (automatic),80.7,5676.0,0
3957-HHLMR,Bank transfer (automatic),65.2,4543.15,0
7803-XOCCZ,Bank transfer (automatic),84.05,4326.8,0
5736-YEJAX,Credit card (automatic),79.45,5502.55,0
5609-CEBID,Electronic check,94.1,1782.4,0
8981-FJGLA,Mailed check,78.0,851.8,0
