customer_id,contract,paperless_billing,churn
0557-ASKVU,One year,Yes,No
5698-BQJOH,Month-to-month,No,Yes
5122-CYFXA,Month-to-month,Yes,No
8627-ZYGSZ,One year,Yes,No
3410-YOQBQ,Two year,No,No
3170-NMYVV,Two year,No,No
7410-OIEDU,Month-to-month,Yes,No
2273-QCKXA,Month-to-month,No,No
0731-EBJQB,One year,Yes,No
1891-QRQSA,Two year,Yes,No
8028-PNXHQ,Two year,Yes,No
5630-AHZIL,Month-to-month,Yes,No
2673-CXQEU,One year,No,No
6416-JNVRK,One year,No,No
5590-ZSKRV,Month-to-month,No,No
0191-ZHSKZ,Month-to-month,Yes,No
3887-PBQAO,One year,Yes,No
5919-TMRGD,Month-to-month,Yes,Yes
8108-UXRQN,Month-to-month,No,No
9191-MYQKX,Month-to-month,Yes,Yes
9919-YLNNG,Month-to-month,Yes,No
0318-ZOPWS,Two year,Yes,No
4445-ZJNMU,Month-to-month,Yes,No
4808-YNLEU,One year,Yes,No
1862-QRWPE,Two year,No,No
2796-NNUFI,Two year,Yes,No
3016-KSVCP,Month-to-month,No,No
4767-HZZHQ,Month-to-month,No,No
2424-WVHPL,Month-to-month,No,No
7233-PAHHL,Two year,Yes,No
6067-NGCEU,Month-to-month,Yes,No
9848-JQJTX,Two year,Yes,No
8637-XJIVR,Month-to-month,Yes,Yes
9803-FTJCG,One year,Yes,No
0278-YXOOG,Month-to-month,No,Yes
3212-KXOCR,Two year,No,No
4598-XLKNJ,Month-to-month,Yes,Yes
6380-ARCEH,Month-to-month,No,No
3679-XASPY,Month-to-month,No,No
7123-WQUHX,One year,No,No
5386-THSLQ,One year,No,No
3192-NQECA,Two year,Yes,Yes
6180-YBIQI,Month-to-month,No,No
6728-DKUCO,One year,Yes,No
9750-BOOHV,One year,No,No
8597-CWYHH,One year,No,No
2848-YXSMW,Two year,No,No
0486-HECZI,Month-to-month,Yes,Yes
4549-ZDQYY,One year,No,No
5712-AHQNN,Month-to-month,Yes,No
4846-WHAFZ,Month-to-month,Yes,Yes
5256-SKJGO,Two year,Yes,No
3071-VBYPO,Month-to-month,No,No
9560-BBZXK,Two year,No,No
5299-RULOA,Month-to-month,Yes,Yes
8402-OOOHJ,Two year,No,No
9445-ZUEQE,Month-to-month,Yes,No
1091-SOZGA,One year,Yes,No
2928-HLDBA,Month-to-month,No,No
0404-SWRVG,Month-to-month,Yes,Yes
6497-TILVL,Month-to-month,No,No
7219-TLZHO,Month-to-month,No,No
4622-YNKIJ,Two year,Yes,No
4412-YLTKF,Month-to-month,Yes,Yes
6734-PSBAW,Two year,Yes,No
3930-ZGWVE,Month-to-month,No,No
2639-UGMAZ,One year,Yes,No
2876-GZYZC,Month-to-month,Yes,No
6207-WIOLX,Month-to-month,Yes,Yes
8587-XYZSF,Two year,No,No
3091-FYHKI,Month-to-month,Yes,Yes
2372-HWUHI,Month-to-month,No,Yes
7799-LGRDP,Two year,Yes,No
7850-VWJUU,Month-to-month,Yes,No
3774-VBNXY,Two year,No,No
6217-KDYWC,Two year,Yes,No
0390-DCFDQ,Month-to-month,Yes,Yes
3146-MSEGF,Two year,Yes,No
4080-OGPJL,Month-to-month,No,Yes
1095-WGNGG,Two year,Yes,No
2636-SJDOU,One year,Yes,No
1131-QQZEB,Two year,No,No
5716-EZXZN,Two year,Yes,No
6837-BJYDQ,One year,No,No
2135-RXIHG,Month-to-month,Yes,Yes
6440-DKQGE,One year,No,No
3466-BYAVD,Month-to-month,Yes,No
3780-YVMFA,Month-to-month,Yes,No
3874-EQOEP,Month-to-month,No,Yes
1679-JRFBR,One year,Yes,No
9073-ZZIAY,Two year,No,No
3077-RSNTJ,Month-to-month,No,No
6551-GNYDG,Month-to-month,Yes,No
9167-APMXZ,Month-to-month,Yes,No
2749-CTKAJ,One year,No,No
6371-NZYEG,Two year,No,No
7554-NEWDD,Two year,No,No
8992-VONJD,Month-to-month,Yes,No
0867-MKZVY,Month-to-month,No,Yes
4482-EWFMI,Month-to-month,Yes,No
4648-YPBTM,Two year,Yes,No
2907-ILJBN,One year,No,No
6345-FZOQH,Two year,No,No
3376-BMGFE,Month-to-month,Yes,Yes
5997-OPVFA,Two year,Yes,No
3445-HXXGF,Month-to-month,Yes,Yes
1159-WFSGR,Month-to-month,No,No
7654-YWJUF,One year,Yes,No
1875-QIVME,Month-to-month,Yes,Yes
6727-IOTLZ,Two year,No,No
0691-JVSYA,One year,Yes,Yes
5918-VUKWP,One year,No,No
1744-JHKYS,Month-to-month,No,No
2656-FMOKZ,Month-to-month,Yes,Yes
2070-FNEXE,Month-to-month,No,Yes
5947-SGKCL,Month-to-month,Yes,No
3712-PKXZA,One year,Yes,No
6317-YPKDH,Month-to-month,No,Yes
6582-OIVSP,Month-to-month,No,No
9367-WXLCH,Month-to-month,No,Yes
5524-KHNJP,One year,No,No
1918-ZBFQJ,Month-to-month,Yes,Yes
1024-GUALD,Month-to-month,Yes,Yes
4827-USJHP,Month-to-month,Yes,No
8167-GJLRN,Month-to-month,No,No
0956-SYCWG,One year,No,No
8017-UVSZU,Month-to-month,No,No
7100-FQPRV,One year,Yes,No
2472-OVKUP,Month-to-month,Yes,Yes
2984-RGEYA,Two year,No,No
9680-NIAUV,Two year,No,No
2146-EGVDT,Two year,No,No
2604-IJPDU,Month-to-month,Yes,No
9178-JHUVJ,Two year,Yes,No
6168-YBYNP,Month-to-month,Yes,No
7255-SSFBC,Two year,Yes,No
3645-DEYGF,Month-to-month,No,No
9323-HGFWY,One year,Yes,No
8544-GOQSH,Month-to-month,Yes,No
3363-DTIVD,Two year,No,No
7018-WBJNK,Month-to-month,Yes,No
9142-KZXOP,Month-to-month,No,No
7674-YTAFD,One year,Yes,No
6348-SNFUS,Two year,Yes,No
1285-OKIPP,Month-to-month,No,Yes
7825-ECJRF,Month-to-month,Yes,Yes
1347-KTTTA,One year,Yes,No
7841-TZDMQ,Month-to-month,Yes,Yes
4195-NZGTA,Month-to-month,No,No
7157-SMCFK,Two year,No,No
4709-LKHYG,One year,No,No
2504-DSHIH,Month-to-month,No,No
0699-NDKJM,Month-to-month,Yes,No
9286-BHDQG,Two year,No,No
0230-WEQUW,Two year,Yes,No
2040-LDIWQ,Two year,Yes,No
6496-JDSSB,Month-to-month,Yes,No
9408-SSNVZ,Month-to-month,Yes,Yes
4443-EMBNA,Two year,No,No
6469-MRVET,One year,Yes,No
0742-MOABM,Month-to-month,No,Yes
5961-VUSRV,One year,Yes,No
6778-JFCMK,One year,Yes,No
6341-JVQGF,One year,Yes,No
2232-DMLXU,Month-to-month,No,Yes
4811-JBUVU,Month-to-month,Yes,No
0945-TSONX,Two year,Yes,No
2651-ZCBXV,Two year,Yes,No
3316-UWXUY,Month-to-month,Yes,No
8937-RDTHP,Month-to-month,Yes,Yes
7083-MIOPC,Two year,No,No
1984-GPTEH,Month-to-month,No,No
1251-KRREG,Month-to-month,Yes,Yes
0621-JFHOL,Two year,Yes,No
9903-LYSAB,Month-to-month,Yes,No
0094-OIFMO,Month-to-month,Yes,Yes
9227-UAQFT,Two year,No,No
7301-ABVAD,Two year,No,No
6614-FHDBO,Two year,No,No
7576-ASEJU,One year,Yes,No
9058-HRZSV,Month-to-month,No,No
4522-AKYLR,Month-to-month,Yes,No
0221-WMXNQ,Month-to-month,No,No
0303-UNCIP,One year,No,No
9947-OTFQU,Month-to-month,Yes,Yes
0322-YINQP,Month-to-month,Yes,Yes
0959-WHOKV,One year,Yes,No
4075-JFPGR,One year,Yes,No
4629-NRXKX,Month-to-month,No,Yes
9514-JDSKI,Month-to-month,No,Yes
3282-ZISZV,One year,No,No
3675-YDUPJ,Month-to-month,Yes,No
4111-BNXIF,Two year,Yes,No
7017-VFHAY,Two year,No,No
6655-LHBYW,One year,No,No
4959-JOSRX,Month-to-month,Yes,Yes
5046-NUHWD,Month-to-month,Yes,No
7273-TEFQD,Month-to-month,Yes,Yes
3606-TWKGI,Month-to-month,Yes,Yes
7529-ZDFXI,Month-to-month,Yes,No
7605-BDWDC,Two year,Yes,No
1950-KSVVJ,One year,No,No
0123-CRBRT,Two year,No,No
6292-TOSSS,Two year,No,No
3197-ARFOY,Month-to-month,Yes,No
6323-AYBRX,Two year,No,Yes
7014-ZZXAW,Two year,Yes,No
4385-GZQXV,Month-to-month,Yes,Yes
7633-MVPUY,Two year,Yes,No
6366-ZGQGL,Month-to-month,No,Yes
4716-HHKQH,Month-to-month,No,No
5940-AHUHD,Month-to-month,No,Yes
6432-TWQLB,Month-to-month,Yes,Yes
4484-GLZOU,Month-to-month,Yes,Yes
3179-GBRWV,Month-to-month,Yes,No
8645-KWHJO,Month-to-month,Yes,No
4130-MZLCC,Month-to-month,No,No
0314-TKOSI,Month-to-month,No,No
8229-MYEJZ,Month-to-month,No,No
2080-SRCDE,Month-to-month,No,No
9577-WJVCQ,Month-to-month,No,No
9512-UIBFX,Month-to-month,No,Yes
6202-DYYFX,One year,Yes,No
3808-HFKDE,Month-to-month,Yes,No
5583-SXDAG,Month-to-month,No,Yes
3488-PGMQJ,Month-to-month,Yes,Yes
3580-REOAC,Month-to-month,Yes,Yes
7534-BFESC,Month-to-month,Yes,Yes
3727-OWVYD,One year,No,No
2294-SALNE,One year,No,No
4847-TAJYI,Month-to-month,Yes,No
1563-IWQEX,Month-to-month,No,No
8203-XJZRC,Month-to-month,No,No
6556-DBKZF,Two year,No,No
6851-WEFYX,Month-to-month,Yes,No
2985-JUUBZ,Month-to-month,Yes,No
6390-DSAZX,Month-to-month,Yes,Yes
0895-LMRSF,One year,Yes,No
8098-LLAZX,Month-to-month,Yes,Yes
8266-VBFQL,Month-to-month,Yes,No
8181-YHCMF,Two year,No,No
2240-HSJQD,Month-to-month,Yes,No
1248-DYXUB,Two year,No,No
0265-EDXBD,Month-to-month,Yes,Yes
4115-BNPJY,Two year,No,No
3167-SNQPL,Month-to-month,No,No
4091-TVOCN,One year,Yes,No
1098-TDVUQ,Month-to-month,Yes,No
7277-OZCGZ,Month-to-month,Yes,No
1557-EMYVT,Two year,No,No
2799-ARNLO,Month-to-month,Yes,No
7563-BIUPC,Month-to-month,Yes,Yes
5027-YOCXN,One year,No,No
3973-SKMLN,Two year,Yes,No
2321-OMBXY,One year,No,Yes
2840-XANRC,Month-to-month,Yes,Yes
6745-JEFZB,Month-to-month,Yes,No
5020-ZSTTY,One year,No,Yes
9880-TDQAC,Two year,Yes,No
8705-WZCYL,Month-to-month,Yes,No
7102-JJVTX,One year,No,No
8626-PTQGE,Two year,Yes,No
4983-CLMLV,Month-to-month,Yes,No
5701-YVSVF,Month-to-month,Yes,No
5804-LEPIM,Month-to-month,Yes,Yes
5697-GOMBF,Month-to-month,Yes,No
2739-CACDQ,Month-to-month,Yes,No
9385-EHGDO,Two year,Yes,No
9498-FIMXL,One year,Yes,No
2379-GYFLQ,One year,Yes,No
0122-OAHPZ,Month-to-month,Yes,Yes
2868-SNELZ,Month-to-month,No,Yes
4322-RCYMT,One year,Yes,Yes
6680-NENYN,Two year,Yes,Yes
2088-IEBAU,Two year,Yes,No
7982-VCELR,Month-to-month,Yes,No
1343-EHPYB,Month-to-month,Yes,Yes
6035-BXTTY,Month-to-month,No,No
6885-PKOAM,Two year,No,No
7520-HQWJU,Month-to-month,Yes,No
9639-BUJXT,One year,No,No
5924-SNGKP,One year,Yes,No
0021-IKXGC,Month-to-month,Yes,No
2034-GDRCN,Month-to-month,Yes,Yes
8966-SNIZF,Two year,No,No
6243-OZGFH,Month-to-month,Yes,No
4654-DLAMQ,One year,No,No
0513-RBGPE,Two year,Yes,No
5160-UXJED,One year,No,No
4115-NZRKS,Month-to-month,Yes,No
0219-YTZUE,Month-to-month,Yes,Yes
0623-IIHUG,Month-to-month,Yes,Yes
4572-DVCGN,Month-to-month,Yes,Yes
3351-NGXYI,Month-to-month,Yes,No
8984-EYLLL,Two year,Yes,No
9057-MSWCO,Month-to-month,No,Yes
9833-TGFHX,One year,No,No
9294-TDIPC,Month-to-month,No,No
5229-DTFYB,Two year,Yes,No
0104-PPXDV,One year,No,No
5176-LMJXE,Two year,Yes,No
3583-KRKMD,Month-to-month,Yes,No
1010-DIAUQ,Month-to-month,No,Yes
9069-LGEUL,Month-to-month,Yes,No
7302-ZHMHP,Month-to-month,No,No
9571-EDEBV,One year,Yes,No
3520-FJGCV,Two year,Yes,No
6563-VRERX,One year,No,No
0259-GBZSH,Month-to-month,Yes,Yes
6122-EFVKN,Two year,No,No
2805-EDJPQ,One year,Yes,No
6862-CQUMB,Month-to-month,Yes,No
7156-MXBJE,One year,No,No
6158-HDPXZ,Month-to-month,No,No
9601-BRXPO,Month-to-month,Yes,Yes
2863-IMQDR,Two year,No,No
5686-CMAWK,One year,No,No
5651-CRHKQ,One year,Yes,No
6905-NIQIN,Month-to-month,No,Yes
8204-YJCLA,Two year,Yes,No
5167-ZFFMM,Month-to-month,Yes,Yes
6583-SZVGP,Two year,Yes,No
4895-TMWIR,Month-to-month,No,Yes
0533-BNWKF,Month-to-month,Yes,Yes
1708-PBBOA,One year,Yes,No
8782-LKFPK,Month-to-month,Yes,No
5522-JBWMO,Month-to-month,No,No
3597-MVHJT,Month-to-month,Yes,No
9774-NRNAU,Month-to-month,Yes,No
0224-RLWWD,Month-to-month,Yes,No
9967-ATRFS,Month-to-month,No,No
3951-NJCVI,Month-to-month,Yes,No
2977-CEBSX,Two year,Yes,No
0177-PXBAT,Month-to-month,Yes,No
6599-CEBNN,Month-to-month,Yes,Yes
2519-ERQOJ,Month-to-month,Yes,No
5876-QMYLD,One year,No,No
2277-AXSDC,One year,No,No
9442-JTWDL,One year,No,No
0979-PHULV,Month-to-month,Yes,Yes
3067-SVMTC,One year,No,No
5495-GPSRW,Two year,Yes,No
7606-BPHHN,Two year,Yes,No
4742-DRORA,One year,Yes,No
0111-KLBQG,Month-to-month,Yes,No
4800-VHZKI,Month-to-month,Yes,Yes
7989-CHGTL,Month-to-month,Yes,Yes
0334-GDDSO,Month-to-month,Yes,Yes
4163-NCJAK,One year,Yes,No
5233-AOZUF,Month-to-month,Yes,No
5973-EJGDP,Month-to-month,Yes,No
1996-DBMUS,Month-to-month,Yes,No
7916-VCCPB,Month-to-month,No,No
4686-GEFRM,Two year,Yes,No
5249-QYHEX,Two year,Yes,No
0578-SKVMF,Month-to-month,No,Yes
5564-NEMQO,Month-to-month,Yes,Yes
2233-FAGXV,Month-to-month,Yes,No
5605-IYGFG,Month-to-month,Yes,No
7663-ZTEGJ,One year,No,No
3935-TBRZZ,One year,No,No
8111-BKVDS,Month-to-month,No,No
2055-SIFSS,Month-to-month,No,No
2806-MLNTI,One year,Yes,No
8734-DKSTZ,Month-to-month,No,No
4360-PNRQB,Month-to-month,Yes,No
6152-ONASV,One year,No,No
9063-ZGTUY,Month-to-month,Yes,Yes
7781-HVGMK,Two year,Yes,No
2181-UAESM,Month-to-month,No,No
2957-LOLHO,Month-to-month,Yes,Yes
6048-NJXHX,Two year,Yes,No
2320-SLKMB,Month-to-month,Yes,No
4980-URKXC,One year,No,No
4376-KFVRS,Two year,Yes,No
5886-VLQVU,Month-to-month,Yes,No
3577-AMVUX,Month-to-month,No,No
0771-WLCLA,Month-to-month,Yes,No
5628-RKIFK,Month-to-month,No,No
0206-TBWLC,One year,Yes,No
2937-FTHUR,Month-to-month,No,No
1910-FMXJM,Month-to-month,No,No
7752-XUSCI,Month-to-month,Yes,Yes
4110-PFEUZ,Month-to-month,No,Yes
0732-OCQOC,Two year,Yes,No
5168-MSWXT,Month-to-month,Yes,No
1090-ESELR,Two year,No,No
8592-PLTMQ,One year,No,No
5760-WRAHC,Month-to-month,Yes,No
8847-GEOOQ,Month-to-month,Yes,No
0256-LTHVJ,Month-to-month,Yes,Yes
4785-FCIFB,Two year,No,No
8313-NDOIA,Month-to-month,Yes,No
5149-CUZUJ,One year,No,No
0942-KOWSM,Two year,No,No
4237-CLSMM,Month-to-month,No,No
1452-VOQCH,Month-to-month,Yes,No
4719-UMSIY,Month-to-month,No,No
6614-VBEGU,Month-to-month,Yes,No
0880-TKATG,Month-to-month,No,Yes
3811-VBYBZ,Month-to-month,Yes,Yes
1480-BKXGA,Two year,Yes,No
2996-XAUVF,Two year,Yes,No
9076-AXYIK,Two year,No,No
5968-XQIVE,One year,Yes,No
8896-RAZCR,Two year,No,No
4640-UHDOS,Month-to-month,No,Yes
4933-IKULF,One year,No,No
3583-EKAPL,Month-to-month,Yes,Yes
1304-BCCFO,Month-to-month,Yes,No
4104-PVRPS,Month-to-month,No,No
9399-APLBT,Month-to-month,Yes,Yes
2359-KMGLI,Month-to-month,Yes,Yes
3780-DDGSE,Month-to-month,Yes,No
4431-EDMIQ,Month-to-month,Yes,No
0306-JAELE,Month-to-month,Yes,Yes
6227-HWPWX,Month-to-month,No,Yes
0486-LGCCH,Two year,No,No
0447-BEMNG,Month-to-month,Yes,Yes
4612-SSVHJ,Month-to-month,Yes,No
5168-MQQCA,One year,Yes,No
5949-XIKAE,Month-to-month,Yes,Yes
7971-HLVXI,Two year,Yes,No
9094-AZPHK,Month-to-month,Yes,No
3649-JPUGY,Two year,Yes,No
4472-LVYGI,Two year,Yes,No
8372-JUXUI,Month-to-month,Yes,Yes
3552-CTCYF,Two year,Yes,No
6778-YSNIH,Month-to-month,Yes,No
0388-EOPEX,Month-to-month,Yes,Yes
5756-OZRIO,One year,No,No
6579-JPICP,Month-to-month,No,No
8205-OTCHB,One year,Yes,Yes
4134-BSXLX,Month-to-month,No,No
0505-SPOOW,Two year,No,No
6235-VDHOM,Month-to-month,No,Yes
7783-YKGDV,Month-to-month,Yes,Yes
4374-YMUSQ,One year,No,No
4513-CXYIX,Two year,Yes,No
3957-HHLMR,One year,No,No
7803-XOCCZ,Month-to-month,Yes,No
5736-YEJAX,Two year,Yes,No
5609-CEBID,Month-to-month,Yes,Yes
8981-FJGLA,Month-to-month,Yes,No
7218-HKQFK,Month-to-month,Yes,Yes
4636-QRJKY,Month-to-month,Yes,Yes
1135-LMECX,Month-to-month,No,No
4332-MUOEZ,One year,No,No
8535-SFUTN,Month-to-month,Yes,No
5956-VKDTT,Month-to-month,Yes,Yes
8677-HDZEE,Month-to-month,Yes,No
2475-MROZF,Month-to-month,Yes,No
9412-GHEEC,Month-to-month,No,Yes
3482-ABPKK,One year,No,No
6705-LXORM,Month-to-month,No,No
0257-ZESQC,Month-to-month,Yes,Yes
7531-GQHME,Month-to-month,No,No
5174-ITUMV,One year,Yes,No
4109-CYRBD,Month-to-month,Yes,No
0913-XWSCN,Month-to-month,No,No
6825-UYPFK,Month-to-month,No,Yes
8397-MVTAZ,Month-to-month,Yes,Yes
0750-EBAIU,One year,No,No
8606-CIQUL,Two year,Yes,No
3571-DPYUH,One year,Yes,No
7601-GNDYK,Two year,No,No
0356-OBMAC,Two year,Yes,No
8067-NIOYM,Two year,Yes,No
1403-GYAFU,Two year,No,No
4234-XTNEA,Month-to-month,Yes,No
1297-VQDRP,One year,Yes,No
9282-IZGQK,Month-to-month,Yes,Yes
5348-CAGXB,Month-to-month,Yes,No
0621-HJWXJ,Month-to-month,Yes,No
5844-QVTAT,One year,Yes,No
8905-IAZPF,One year,Yes,No
5394-MEITZ,Two year,Yes,No
6859-QNXIQ,Two year,Yes,No
2782-LFZVW,Month-to-month,Yes,No
2866-IKBTM,Month-to-month,No,No
1342-JPNKI,Month-to-month,Yes,Yes
2817-NTQDO,Month-to-month,Yes,Yes
7129-AZJDE,One year,Yes,No
6986-IJDHX,Month-to-month,Yes,Yes
2560-PPCHE,One year,Yes,No
4676-MQUEA,One year,Yes,No
8138-EALND,Month-to-month,No,No
3580-HYCSP,Two year,Yes,No
1352-HNSAW,Two year,Yes,No
2075-PUEPR,Two year,No,No
1982-FEBTD,Two year,Yes,No
5301-GAUUY,Month-to-month,Yes,Yes
5791-KAJFD,One year,Yes,No
2654-VBVPB,Month-to-month,No,No
1154-HYWWO,One year,No,No
2501-XWWTZ,Month-to-month,No,No
3716-UVSPD,Month-to-month,Yes,No
6815-ABQFQ,One year,Yes,No
7343-EOBEU,Month-to-month,Yes,No
3701-SFMUH,Month-to-month,No,No
6103-LIANB,Two year,Yes,No
7319-VENRZ,Month-to-month,No,No
5846-NEQVZ,Two year,Yes,No
6967-QIQRV,One year,No,No
5781-RFZRP,Two year,No,No
0939-YAPAF,Month-to-month,Yes,Yes
0308-IVGOK,One year,Yes,No
7293-LSCDV,Two year,Yes,No
7025-WCBNE,Two year,No,No
5756-JYOJT,One year,No,No
4710-FDUIZ,One year,No,Yes
6030-REHUX,Month-to-month,Yes,No
9548-LIGTA,Two year,Yes,No
5150-LJNSR,One year,No,No
8270-RKSAP,Month-to-month,Yes,No
6522-YRBXD,Month-to-month,Yes,No
2640-LYMOV,Month-to-month,Yes,No
1218-VKFPE,Month-to-month,No,Yes
3627-FHKBK,Month-to-month,No,Yes
2865-TCHJW,Month-to-month,Yes,Yes
1423-BMPBQ,Month-to-month,Yes,No
2393-DIVAI,Month-to-month,Yes,No
5192-EBGOV,Month-to-month,Yes,Yes
4568-KNYWR,Two year,Yes,No
8752-IMQOS,One year,No,No
0742-LAFQK,Two year,Yes,No
0795-LAFGP,Two year,No,No
0619-OLYUR,Two year,Yes,No
5512-IDZEI,One year,No,No
0459-SPZHJ,Two year,No,No
0215-BQKGS,Month-to-month,Yes,No
9244-ZVAPM,Month-to-month,No,No
0719-SYFRB,Month-to-month,Yes,Yes
8208-EUMTE,Two year,No,No
5172-MIGPM,Month-to-month,No,No
1710-RCXUS,One year,Yes,No
0374-FIUCA,Two year,Yes,No
5839-SUYVZ,Month-to-month,Yes,No
5173-ZXXXL,One year,No,No
1096-ADRUX,One year,Yes,No
2001-MCUUW,Two year,No,No
2731-GJRDG,One year,Yes,No
4723-BEGSG,Two year,No,No
6516-NKQBO,Two year,No,No
8672-OAUPW,One year,No,No
8207-DMRVL,Two year,No,No
3419-SNJJD,Month-to-month,No,Yes
6543-CPZMK,Month-to-month,Yes,Yes
4765-OXPPD,Month-to-month,No,Yes
2804-ETQDK,Two year,No,No
6689-VRRTK,One year,Yes,No
7138-GIRSH,Two year,No,No
9396-ZSFLL,Month-to-month,No,No
6464-KEXXH,Month-to-month,Yes,No
7134-MJPDY,One year,Yes,No
5240-CAOYT,Month-to-month,Yes,No
4059-IIEBK,Month-to-month,Yes,No
4881-JVQOD,Month-to-month,Yes,No
0516-UXRMT,One year,Yes,No
4851-BQDNX,One year,Yes,No
5148-HKFIR,Two year,No,No
1009-IRMNA,Month-to-month,No,Yes
3003-CMDUU,Month-to-month,Yes,No
5016-IBERQ,Month-to-month,No,No
6797-UCJHZ,One year,No,No
2469-DTSGX,Two year,No,No
4554-YGZIH,Month-to-month,No,Yes
5099-BAILX,Month-to-month,Yes,Yes
9931-KGHOA,Month-to-month,No,No
1775-KWJKQ,Two year,No,No
7665-VIGUD,One year,No,No
9411-TPQQV,One year,Yes,No
7207-RMRDB,Month-to-month,Yes,Yes
7954-MLBUN,Two year,No,No
2077-DDHJK,Two year,No,No
4913-EHYUI,One year,Yes,Yes
0195-IESCP,Month-to-month,Yes,Yes
9574-BOSMD,Two year,No,No
4580-TMHJU,Month-to-month,No,Yes
0970-ETWGE,Month-to-month,Yes,Yes
4908-XAXAY,One year,Yes,No
8404-VLQFB,Month-to-month,Yes,No
1626-ERCMM,Month-to-month,Yes,Yes
0887-HJGAR,Month-to-month,Yes,Yes
2391-IPLOP,One year,Yes,No
5644-PDMZC,Month-to-month,No,Yes
3509-GWQGF,Month-to-month,No,No
9576-ANLXO,Month-to-month,Yes,Yes
2024-BASKD,Month-to-month,Yes,Yes
5845-BZZIB,Two year,No,No
1140-UKVZG,Month-to-month,No,No
4160-AMJTL,Month-to-month,No,Yes
5183-SNMJQ,Month-to-month,Yes,No
8100-PNJMH,Two year,Yes,No
7838-LAZFO,One year,No,No
4464-JCOLN,One year,No,Yes
2085-JVGAD,Month-to-month,No,No
5650-VDUDS,Month-to-month,Yes,Yes
8095-WANWK,Month-to-month,No,No
3030-ZKIWL,Month-to-month,No,No
9565-FLVCG,Two year,Yes,No
8755-OGKNA,Two year,No,No
2800-VEQXM,Month-to-month,Yes,No
7538-GWHML,Month-to-month,No,Yes
5533-RJFTJ,Month-to-month,Yes,No
3859-CVCET,Month-to-month,No,Yes
0214-JHPFW,Two year,No,No
5642-MHDQT,One year,Yes,No
3088-FVYWK,Two year,No,No
3276-HDUEG,Month-to-month,Yes,Yes
9092-GDZKO,Month-to-month,Yes,No
0823-HSCDJ,Month-to-month,Yes,Yes
3729-OWRVL,Two year,Yes,No
2324-AALNO,One year,No,No
0822-GAVAP,Month-to-month,Yes,Yes
5760-IFJOZ,Month-to-month,No,No
2826-UWHIS,Month-to-month,No,No
1448-PWKYE,Month-to-month,No,Yes
7501-IWUNG,Two year,Yes,No
4957-TREIR,Month-to-month,Yes,No
7251-LJBQN,One year,Yes,No
8040-MNRTF,Month-to-month,No,No
1536-HBSWP,Month-to-month,Yes,No
5313-FPXWG,One year,Yes,No
0067-DKWBL,Month-to-month,Yes,Yes
0946-FKYTX,One year,No,No
5076-YVXCM,Month-to-month,No,No
8262-COGGB,Month-to-month,Yes,No
